"id","banque_id","commentaire","note","date_review","sentiment","langue","topic"
"6","ChIJz8xDa9dEoA0REy94tunG9m0","No one sucked... to get the code for the application took me around the world until I called back to the headquarters in Casablanca. It cost me 80 euros per call and despite that nothing is not done!! Then I moved to Morocco in Meknes I asked them for the code and they told me you received it 🤦 even though I received nothing!! Blocked no transaction was made on my part from France to buy a property in Morocco because of their service until I broke down and I requested an account closure on the spot he asked me to write a letter I wrote it on the spot after I was received by the manager... she told me your letter is useless! Garbage can !! Ok thank you I would like to know why you asked me to write a letter 30 minutes ago => no response from her..and at the end she tells me the balance before withdrawing it to close except that she has tells me a false figure (100 DH less) and I catch up on the figure. since 2004 I have been with them after 20 years not even a question ""why do you want to close the account"" the customer is shit for them. They made me feel bad","1.0","2024-11-13 23:17:25","Negative","en","Topic 3"
"7","ChIJz8xDa9dEoA0REy94tunG9m0","No one, no one, no one ever meets on phone","1.0","2024-01-17 15:27:21","Negative","en","Topic 2"
"8","ChIJz8xDa9dEoA0REy94tunG9m0","The ATM does not give money and still withdraws from my account.","1.0","2021-10-19 10:05:02","Neutral","en","Topic 1"
"9","ChIJ_xkG2N5EoA0R9iH5gUUfWsY","Gap 24/24","4.0","2017-11-26 19:55:20","Neutral","en","Topic 2"
"10","ChIJ_xkG2N5EoA0R9iH5gUUfWsY","Super","5.0","2023-10-23 15:28:13","Positive","en","Topic 0"
"11","ChIJ_xkG2N5EoA0R9iH5gUUfWsY","Dynamic staff keen to deliver quality service to customers.
I am an MRE and I had to resolve a card issue and it was resolved in 2 days.
Big thanks to Madame Chaoui Zineb (Meknes) who was professional and attentive.
Nadia","5.0","2024-09-10 08:01:15","Positive","unknown","Topic 3"
"12","ChIJ_xkG2N5EoA0R9iH5gUUfWsY","The attitude of the representative responsible for selling products and services does not demonstrate any professionalism. Its lack of friendliness does not make the customer feel welcome. I am disappointed by the quality of service offered by this bank agency.","1.0","2024-04-11 23:59:45","Positive","en","Topic 2"
"13","ChIJ_xkG2N5EoA0R9iH5gUUfWsY","Young, dynamic and professional team, kind and very helpful to encourage","5.0","2022-03-24 10:29:08","Positive","en","Topic 1"
"14","ChIJ-yU-BtlEoA0RcBFx1YFy4z4","Worst customer service I have ever experienced
Commercial agent offer no empathy, rude behavior and bad attitudes 👎","1.0","2022-10-04 17:11:01","Negative","unknown","Topic 3"
"15","ChIJ-yU-BtlEoA0RcBFx1YFy4z4","This is a banking establishment to carry out various banking operations","4.0","2023-12-27 20:25:15","Neutral","en","Topic 2"
"19","ChIJBdLpQtlEoA0RgNRayIoQnXA","Disappointed with this bank, its manager and their so-called protocol. The exchange machine stole 500 euros from us and only gave us back 500 dirhams. We went to see the manager who told us it's not his responsibility!!! We had to wait for the Casablanca headquarters to give their agreement. It was supposedly 3 days. To date it has been 3 weeks we have not been reimbursed. We were told to leave the Rib from my account in Morocco so that they would pay us our money. However, the manager asked us a few days ago that the best thing is to open an account with them so that they can pay us our money!!! But how can you not get angry with these people!!! Who do they take us for? We are nationals. We love our country. And that's why we come for 3 to 4 weeks of vacation. There is something to disgust you! It is unacceptable to treat us like this. I hope that my message will end up in the hands of higher officials so that our situation can be resolved quickly! We left our Rib on two occasions. THANKS. A word to the wise.","1.0","2024-08-17 21:36:39","Positive","en","Topic 1"
"20","ChIJBdLpQtlEoA0RgNRayIoQnXA","Very good agency they provide good service","4.0","2021-02-22 15:08:06","Positive","en","Topic 0"
"21","ChIJBdLpQtlEoA0RgNRayIoQnXA","No telephone support.","1.0","2020-11-13 14:22:19","Positive","en","Topic 3"
"22","ChIJBdLpQtlEoA0RgNRayIoQnXA","For banking transactions","5.0","2016-12-14 08:54:04","Neutral","en","Topic 3"
"23","ChIJBdLpQtlEoA0RgNRayIoQnXA","","5.0","2022-11-29 13:14:03","Neutral","ht","Topic 0"
"24","ChIJj0PnG9ZaoA0R22D_galosE0","Attijariwafa bank","5.0","2017-05-17 19:04:22","Neutral","en","Topic 2"
"25","ChIJj0PnG9ZaoA0R22D_galosE0","Very dissatisfied during my last visit today I came from abroad I needed to speak to my advisor who refused to open the door for me it was 2:26 p.m. and the closing of Ramadan and at 2:30 p.m. they left me outside like a dog sorry for the terms used but they are new advisors I have never seen her being a good client I think with good transfer from abroad when leaving no one spoke to me I have a few deal to be concluded in the next few years with some of my associates for the purchase/sale of land and transfer of funds from abroad I would change banks because of the way they treated me at the Sekakine agency in Meknes.","1.0","2024-04-03 20:22:34","Positive","en","Topic 2"
"26","ChIJj0PnG9ZaoA0R22D_galosE0","I will visit you soon and there is a problem haha","5.0","2024-02-28 15:16:08","Neutral","en","Topic 3"
"27","ChIJj0PnG9ZaoA0R22D_galosE0","خدمات جيدة للزبائن","4.0","2019-10-23 21:32:47","Neutral","ar","Topic 3"
"28","ChIJj0PnG9ZaoA0R22D_galosE0","","4.0","2024-05-18 15:17:44","Neutral","ht","Topic 0"
"29","ChIJk_eXNeJEoA0RcOx2aVDzcxs","Very bad agency

I have just opened an account, the so-called advisor does not ask about my needs or give me time to read at least the main points of the contract, not to mention the fact that she signed me up for a savings plan without even asking me if I need it or not, she decided by herself the monthly amount of my savings of course no answer on the phone they only open when people are working so if you want to go and solve a problem you have to take half a day to go see them","1.0","2025-03-10 12:08:40","Negative","unknown","Topic 2"
"30","ChIJk_eXNeJEoA0RcOx2aVDzcxs","Very bad reception.

Following a setback, I arrived at the agency before closing (closing time announced on Google at 4:00 p.m.) and I still saw the agents inside but the door closed.
I ask the security guard if it is possible to discuss with the staff because it is an emergency... Nothing, nada, walou, the staff didn't even deign to listen to me (wouldn't -just to listen to me), ignoring me to the point of contempt.

In short, more and more disappointed with the bank and their services, which are not worthy of a bank that claims to have a certain standing.","1.0","2024-01-12 16:31:02","Negative","unknown","Topic 0"
"75","ChIJl_IOkkZFoA0RFlaKjJBaWEM","Bank","2.0","2020-06-13 15:10:20","Neutral","en","Topic 2"
"31","ChIJk_eXNeJEoA0RcOx2aVDzcxs","Poor agency, poor management, very poor reception, at 8:25 in the morning you have to wait for the cashier to take service while the one next door plays on his smartphone without interest.","1.0","2024-01-26 08:52:34","Negative","en","Topic 3"
"32","ChIJk_eXNeJEoA0RcOx2aVDzcxs","","1.0","2023-10-30 14:23:54","Neutral","ht","Topic 0"
"33","ChIJk_eXNeJEoA0RcOx2aVDzcxs","","5.0","2020-06-02 10:57:53","Neutral","ht","Topic 0"
"34","ChIJ1SXhsSlboA0R75LsCSfXDYs","Worst service i ever seen !! No greeting, no smiles. I asked to close my account & the guy in charge refused to give me a confirmation of my request !!! How’s that even possible ?? Very rude staff… he didn’t even ask me wyh i want to close my account !! Other banks they always try to find out the reason wyh you want to close the account !! Amateur. I don’t advise anyone to go to this bank.","1.0","2021-07-07 13:15:15","Negative","en","Topic 3"
"35","ChIJ1SXhsSlboA0R75LsCSfXDYs","Very bad customer service I’ll call the bank all the time no one pick up the phone that’s very bad","1.0","2023-08-01 14:30:52","Negative","en","Topic 0"
"36","ChIJ1SXhsSlboA0R75LsCSfXDYs","service 0 wahd khtna f reception jpns katkhayl rassha katsde9 3la les clients pff","1.0","2024-10-31 15:49:56","Neutral","en","Topic 0"
"37","ChIJ1SXhsSlboA0R75LsCSfXDYs","Frankly, they do not respect customers. Working times are 45 minutes or more. I am waiting and the employee is not there. No one pays any attention to us!!!   Perhaps my complaint will not receive any attention. Thank you","1.0","2021-09-10 09:38:29","Negative","en","Topic 0"
"38","ChIJ1SXhsSlboA0R75LsCSfXDYs","Very disappointed with your services
Rabi yakhad fikoum lha9 from Brussels","1.0","2022-12-27 17:32:24","Negative","unknown","Topic 0"
"39","ChIJmzhzTtBaoA0RIuTmqvIhf2o","The personnel is helpful","4.0","2023-01-09 14:46:47","Positive","en","Topic 1"
"40","ChIJmzhzTtBaoA0RIuTmqvIhf2o","Treat the customer with condescension","1.0","2023-05-29 09:12:45","Positive","en","Topic 1"
"41","ChIJmzhzTtBaoA0RIuTmqvIhf2o","It is an agency of the Attijariwafa banking chain.","4.0","2021-01-03 23:20:48","Neutral","en","Topic 1"
"42","ChIJmzhzTtBaoA0RIuTmqvIhf2o","Good reception","5.0","2023-09-04 13:11:57","Positive","en","Topic 0"
"43","ChIJmzhzTtBaoA0RIuTmqvIhf2o","","5.0","2023-12-10 14:54:16","Neutral","ht","Topic 0"
"44","ChIJU_bt6cxaoA0R8EGoC58DYJM","","1.0","2018-05-03 11:04:07","Neutral","ht","Topic 0"
"45","ChIJU_bt6cxaoA0R8EGoC58DYJM","","1.0","2023-09-27 13:57:29","Neutral","ht","Topic 0"
"46","ChIJU_bt6cxaoA0R8EGoC58DYJM","","2.0","2017-05-02 22:53:23","Neutral","ht","Topic 0"
"47","ChIJAbJTW_pEoA0RBEMmY2_6BxE","","5.0","2019-10-01 18:16:19","Neutral","ht","Topic 0"
"48","ChIJqTSF1NNboA0RC71Ddcxccs0","Poor service. Simple transaction needs manager approval who's not in the branch.","2.0","2024-06-07 04:46:11","Neutral","en","Topic 0"
"62","ChIJI2ns2dhaoA0RQQHdclK-ZQQ","One of the worst bank agencies I have dealt with is degrading and unethical to say the least, even half a star you don't deserve.","1.0","2025-02-07 18:03:23","Negative","en","Topic 3"
"63","ChIJI2ns2dhaoA0RQQHdclK-ZQQ","This agency in particular, may God protect them from disgrace, mistreatment, lack of politeness, and provocation of customers in every sense of the word.
We walked in at two o'clock in the afternoon and he closed the door on us. He told us to ask us and there was half an hour left until closing. Is this reasonable?","1.0","2024-04-05 23:01:31","Negative","unknown","Topic 1"
"64","ChIJI2ns2dhaoA0RQQHdclK-ZQQ","The biggest scam is that this bank defrauded me of 1500 dirhams in order to give me the account. May God grant you the truth","1.0","2021-10-21 15:15:19","Positive","en","Topic 1"
"65","ChIJI2ns2dhaoA0RQQHdclK-ZQQ","Service nulle","1.0","2024-09-07 09:24:49","Neutral","en","Topic 0"
"66","ChIJI2ns2dhaoA0RQQHdclK-ZQQ","No service, no money","1.0","2024-04-03 03:51:08","Negative","en","Topic 1"
"67","ChIJGWseQ7laoA0Rlkpr--xSAXQ","Manager always absent, they will direct you to use the app or call customer services they never actually help .
It is a useless agency if not fot the ATM machines.","1.0","2022-09-13 13:04:45","Negative","unknown","Topic 3"
"68","ChIJGWseQ7laoA0Rlkpr--xSAXQ","The worst service I ever seen, always the staff are out, a 5min service would take up to 2 hours just waiting.","1.0","2023-03-08 12:53:46","Negative","en","Topic 3"
"69","ChIJGWseQ7laoA0Rlkpr--xSAXQ","Service is poor, customer service is still not in the best interest and left customers over an hour waiting","1.0","2025-02-10 12:46:47","Negative","en","Topic 1"
"70","ChIJGWseQ7laoA0Rlkpr--xSAXQ","Bad experience, endless waiting, opening time announced at 8:30 a.m., staff arrives at 10 a.m.","1.0","2024-09-23 10:05:21","Negative","en","Topic 0"
"71","ChIJGWseQ7laoA0Rlkpr--xSAXQ","Agency unreachable, director non-existent on his mobile, staff still absent. To avoid I'm going to change banks it becomes exasperating even on their phone for digital problems no one responds during working hours. I can't reconnect to the application even if I forget my password. a nightmare this bank even though I have been there for over 15 years.","1.0","2023-08-05 12:58:53","Negative","en","Topic 2"
"72","ChIJl_IOkkZFoA0RFlaKjJBaWEM","I am an MRE, I went to get my bank card and it went really well!
Both the reception and the office were very professional and competent, nothing to add.

I will not hesitate to come back to look into other financial instruments.","5.0","2025-02-24 21:23:49","Positive","unknown","Topic 3"
"73","ChIJl_IOkkZFoA0RFlaKjJBaWEM","Good morning,

As an MRE, I formally advise you against this agency, I have never seen such incompetence and lack of seriousness with a bank in any country!","1.0","2021-08-31 12:21:28","Positive","unknown","Topic 3"
"74","ChIJl_IOkkZFoA0RFlaKjJBaWEM","Ila la7ditich rask dik web pay w payment by card kayfiw lik flous ana dawli ktar oen 1000dh 9tita3at without any justified reason 3yiit nhder m3ahom irdoli flous flkher sdoli account bla khbari w9tat3o 40dh dial sdan. Wakha machi ana li requesto... Service dial had the bank in general ma3jbniich","2.0","2022-03-24 11:14:07","Negative","en","Topic 0"
"76","ChIJl_IOkkZFoA0RFlaKjJBaWEM","","1.0","2024-02-26 14:00:32","Neutral","ht","Topic 0"
"77","ChIJkxAF_rNFoA0RFKJtEV1uBus","It is so small u can't find where to sit, plus the services are bad, and the reception it's so slow but good","3.0","2023-07-29 16:36:53","Positive","en","Topic 1"
"78","ChIJkxAF_rNFoA0RFKJtEV1uBus","Poorest staff, poor service.","1.0","2024-09-01 14:56:33","Negative","en","Topic 3"
"79","ChIJkxAF_rNFoA0RFKJtEV1uBus","the 2 counters are always either out of service or impossible to make a withdrawal.....","1.0","2025-03-05 22:05:42","Neutral","en","Topic 0"
"80","ChIJkxAF_rNFoA0RFKJtEV1uBus","I swear to God, I don't feel sorry for my livelihood, and the windows are not used for services that have nothing to do with banking transactions.","1.0","2025-02-17 14:44:34","Positive","en","Topic 3"
"81","ChIJkxAF_rNFoA0RFKJtEV1uBus","Substandard services. Most of the time there are no employees. You have to wait because the employee has gone for breakfast or lunch. The security guard is the one who manages the business with his dirty words. I do not recommend dealing with this branch.","1.0","2024-09-02 08:49:22","Negative","en","Topic 2"
"82","ChIJv1pvbKVaoA0RSO2o7NWQg-I","The worst service ever!","1.0","2022-08-24 13:29:39","Negative","en","Topic 3"
"83","ChIJv1pvbKVaoA0RSO2o7NWQg-I","Poor service.
Attijari wafabank absolutely needs to review the quality of its staff, and choose people who can serve customers properly.","1.0","2025-03-04 15:21:48","Negative","unknown","Topic 3"
"84","ChIJv1pvbKVaoA0RSO2o7NWQg-I","Thursday August 22, 2024 for a simple payment, only customer at the checkout, I was made to wait from 12:40 p.m. to 2:05 p.m. Under the pretext ""tired young employee"".
The poorest service I have seen in all Moroccan bank branches.","1.0","2024-08-22 14:40:11","Negative","unknown","Topic 0"
"85","ChIJv1pvbKVaoA0RSO2o7NWQg-I","Great dissatisfaction Poor service.
Awb customer for a very long time, my dissatisfactions are more and more numerous...","1.0","2024-08-01 10:54:10","Negative","unknown","Topic 0"
"86","ChIJv1pvbKVaoA0RSO2o7NWQg-I","The level of services is disastrous. For two months I have been trying to contact the agency and no one answers at all.","1.0","2024-09-06 14:55:48","Negative","en","Topic 0"
"87","ChIJ_y8TRUNFoA0RrYj_am1RsSQ","There is no life for whomever you call, this is the bank, oh, people who go to lunch, oh, the system is a loser, and the dealings are below zero, so the customer came to ask them for a good deed. The age of the driver, when accueil, takes a pause and the system at all times in the pan. This is the time for clients","1.0","2023-07-24 14:22:06","Negative","en","Topic 1"
"88","ChIJ_y8TRUNFoA0RrYj_am1RsSQ","Unprofessional service and treatment, unfortunately","1.0","2023-11-07 15:31:08","Negative","en","Topic 1"
"89","ChIJ_y8TRUNFoA0RrYj_am1RsSQ","Bad treatment","1.0","2021-10-15 13:22:48","Negative","en","Topic 1"
"90","ChIJ_y8TRUNFoA0RrYj_am1RsSQ","2 مرات تعرضت للسرقة 400 درهم على مرتين  كيقولو لك ناقصة 200 درهم","1.0","2025-03-25 08:38:25","Neutral","ar","Topic 3"
"91","ChIJ_y8TRUNFoA0RrYj_am1RsSQ","","5.0","2023-10-24 15:50:07","Neutral","ht","Topic 0"
"92","ChIJUXh1Z9dEoA0RP8Lp6DfvwSo","Is there a way to contact you by email? THANKS","1.0","2024-11-21 12:31:45","Positive","en","Topic 3"
"93","ChIJUXh1Z9dEoA0RP8Lp6DfvwSo","I do not recommend this agency, we keep an account inactive for 15 years we make you pay unjustified amounts
Today I have no document confirming the closure of my account
And we're talking about customer loyalty!!!!
You are not up to the task","1.0","2021-06-21 11:47:57","Negative","unknown","Topic 3"
"94","ChIJUXh1Z9dEoA0RP8Lp6DfvwSo","Financial establishment located in the center of the new city of Meknes","4.0","2023-04-18 18:06:09","Neutral","en","Topic 2"
"95","ChIJUXh1Z9dEoA0RP8Lp6DfvwSo","Modest customer services","3.0","2019-10-15 21:35:11","Neutral","en","Topic 1"
"96","ChIJUXh1Z9dEoA0RP8Lp6DfvwSo","Kind treatment","1.0","2016-12-22 05:46:34","Positive","en","Topic 1"
"97","ChIJP6RkYivTpw0RUw1YZXKuAi0","A great view of anfa city, I recommend","5.0","2025-03-02 12:59:23","Positive","en","Topic 3"
"98","ChIJP6RkYivTpw0RUw1YZXKuAi0","THE BEST TOWER","5.0","2021-01-17 11:21:21","Positive","ja","Topic 2"
"99","ChIJP6RkYivTpw0RUw1YZXKuAi0","Stunning","5.0","2021-11-19 22:21:41","Positive","de","Topic 1"
"100","ChIJP6RkYivTpw0RUw1YZXKuAi0","Yes","5.0","2018-04-29 17:24:49","Positive","en","Topic 3"
"101","ChIJP6RkYivTpw0RUw1YZXKuAi0","It's beautiful how the chef opens","4.0","2019-09-16 22:53:15","Positive","en","Topic 0"
"102","ChIJbXxQbr3Spw0RbSC0yYKF45k","Never expect them to answer phone calls, tried to reach out to them to enquire about a transaction blocked in their BCP In Casablanca but never bother to answer phone calls. Worst service and I'm considering to stop my business with them","1.0","2024-05-28 12:09:53","Negative","en","Topic 3"
"103","ChIJbXxQbr3Spw0RbSC0yYKF45k","Worst Bank and Worst customer service you’ll ever see.
6 months without access to my account and no support or return after multiple cases opened.
Don’t advise anyone to deal with them.","1.0","2024-02-25 16:11:50","Negative","unknown","Topic 3"
"104","ChIJbXxQbr3Spw0RbSC0yYKF45k","My bank . Cool just that quality of service varies from bank to bank","4.0","2018-03-20 23:22:07","Positive","en","Topic 2"
"105","ChIJbXxQbr3Spw0RbSC0yYKF45k","No one answers the phone and the employees are so disrespectful  just avoid it .","1.0","2022-01-26 04:26:59","Negative","en","Topic 2"
"106","ChIJbXxQbr3Spw0RbSC0yYKF45k","Bad service. No one answers the phone. Disrespectful people.","1.0","2021-10-11 12:55:44","Negative","en","Topic 0"
"107","ChIJvxOu1thEoA0RvHbRL4QS6TU","Why would u put on the google map  meknes   hamria    Street allal ben abdellah  that on Saturday   opened, but when I go I found it closed  👎🏻","1.0","2025-03-01 12:23:06","Neutral","en","Topic 0"
"108","ChIJvxOu1thEoA0RvHbRL4QS6TU","Really poor service more then 15 customers and only 1 assistance","1.0","2023-06-06 13:48:52","Negative","en","Topic 3"
"109","ChIJvxOu1thEoA0RvHbRL4QS6TU","A true name, a popular bank at the expense of the citizen. Even the employees are extremely reliable and service-minded from A to Z, especially the head of the Bordj Moulay Omar agency. I have never seen such a serviceable and frank person to the fullest extent. Thank you, Madam Zeinab.","5.0","2024-11-10 21:26:08","Positive","en","Topic 1"
"110","ChIJvxOu1thEoA0RvHbRL4QS6TU","Do not answer calls from abroad, and after 2 p.m. they have already finished the work.
Poor service.
Also the same for the hay essalam sidi said agency.","2.0","2023-06-01 14:19:22","Negative","unknown","Topic 1"
"111","ChIJvxOu1thEoA0RvHbRL4QS6TU","Bank attentive, very friendly staff! Small problem, it's hard to have them on the phone but apart from its nickel!","5.0","2019-04-23 13:18:56","Positive","en","Topic 0"
"112","ChIJFZfcNdlEoA0RpghXjll3lrw","Well done to you. I came to see you on September 24. Everything is done according to the rules. THANKS","5.0","2024-10-11 19:40:37","Positive","en","Topic 3"
"113","ChIJFZfcNdlEoA0RpghXjll3lrw","Used to going to ITTIJARIWAFA BANK in the same boulevard, I came to this CHABI bank branch for my mother, I am very disappointed with the organization:

2 counters open at the rate of one person per 15 minutes to withdraw or deposit (procedure too long?)

We put people before you (Privileged?)

Number display board not working (for how long)

Prudence would dictate that you do not entrust your money to someone who does not know how to organize...

YOU ARE IN ONE OF THE BIGGEST BANK CHABI AGENCY IN MEKNES....","1.0","2021-11-08 13:21:14","Negative","unknown","Topic 0"
"114","ChIJFZfcNdlEoA0RpghXjll3lrw","Al-Shawa is the main headquarters of the Popular Bank, and its electronic network is down 😏","1.0","2020-06-01 09:29:51","Positive","en","Topic 1"
"115","ChIJFZfcNdlEoA0RpghXjll3lrw","First branch of the People's Bank near Al Amir Abdul Kader station","4.0","2016-12-14 09:12:26","Neutral","en","Topic 2"
"116","ChIJFZfcNdlEoA0RpghXjll3lrw","For banking transactions","5.0","2016-12-14 08:50:59","Neutral","en","Topic 3"
"117","ChIJO8OmBJ7urw0RdQA0TdW05Zw","In 2024 and the people of this agency deliver the worst customer service ever.

YOU SHOULD PAY ATTENTION BEFORE VISITING THIS AGENCY AND DON'T LOSE TIME AND MONEY.

حسبي الله ونعم الوكيل","1.0","2024-10-25 12:16:05","Negative","unknown","Topic 1"
"118","ChIJO8OmBJ7urw0RdQA0TdW05Zw","Hello every1 i am with bank popular more then 10 year when I bought my 1 flat my Morgage was done in 1 month tht was 7 year ago now I am Trying to get a new Morgage I put my application 3 month ago and they still looking in to a I have sent to 3 diffent cities with my 2 young kids it really bad service now they replay back to me after 3 month they r telling me they want more paper really bad service I have a very bad experience with them un professional like is a new bank they been there long time should be professional plese do some work make ur bank proud not un professional I would give u out of 100 only 1 score cause I beeen waiting long enough I think hope thinks will change after this message many thanks everyone","1.0","2018-01-10 19:36:04","Positive","en","Topic 3"
"119","ChIJO8OmBJ7urw0RdQA0TdW05Zw","1 hour queue","1.0","2025-02-03 13:41:51","Neutral","fr","Topic 2"
"120","ChIJO8OmBJ7urw0RdQA0TdW05Zw","Terrible service they keep customers waiting while they're chattering with each other and they're rude","1.0","2022-02-02 15:32:21","Negative","en","Topic 3"
"121","ChIJO8OmBJ7urw0RdQA0TdW05Zw","Horrible. So rude.","1.0","2021-02-01 11:54:32","Negative","en","Topic 1"
"122","ChIJnYxmRtZEoA0RoqBLzKz5A6I","A member of your fathers","1.0","2024-04-30 15:17:36","Neutral","en","Topic 2"
"123","ChIJnYxmRtZEoA0RoqBLzKz5A6I","","1.0","2022-04-30 21:52:44","Neutral","ht","Topic 0"
"124","ChIJI0YHq0RFoA0RVTLHpt1o8aY","Inappropriate treatment by bank employees with customers. Unfortunately","1.0","2024-12-02 13:22:26","Negative","en","Topic 1"
"125","ChIJI0YHq0RFoA0RVTLHpt1o8aY","Very bad service","1.0","2022-02-22 14:06:40","Negative","en","Topic 1"
"126","ChIJI0YHq0RFoA0RVTLHpt1o8aY","Banking services","2.0","2017-01-04 07:35:00","Neutral","en","Topic 0"
"127","ChIJI0YHq0RFoA0RVTLHpt1o8aY","People's Bank","3.0","2021-09-28 20:45:02","Neutral","en","Topic 2"
"128","ChIJI0YHq0RFoA0RVTLHpt1o8aY","","1.0","2023-10-17 17:15:51","Neutral","ht","Topic 0"
"129","ChIJ3z0HpNyndw0RT2hJw5NJp5w","Good","3.0","2019-06-11 20:31:02","Positive","en","Topic 0"
"130","ChIJ3z0HpNyndw0RT2hJw5NJp5w","While I have just deposited a sum of money, the two employees come after me with a simple request: ""is it possible to see the amount displayed on the money counter"".. how professional..","1.0","2025-02-11 11:41:48","Neutral","en","Topic 1"
"131","ChIJ3z0HpNyndw0RT2hJw5NJp5w","Bank and normal service.","3.0","2019-06-09 21:44:47","Neutral","en","Topic 3"
"132","ChIJ3z0HpNyndw0RT2hJw5NJp5w","Popular Bank of Nador","5.0","2017-04-13 14:14:35","Positive","en","Topic 3"
"133","ChIJ3z0HpNyndw0RT2hJw5NJp5w","no","1.0","2021-09-28 09:08:27","Negative","pt","Topic 2"
"134","ChIJlwAkxoVrpw0Rrv-a5aB_okE","This is the worst branch located at  62 avenue patrice lumumba, Rabat. they do not know  what is customer service and how to treat people. and because of the experience I received I will be moving my money somewhere else that values customers. First I was questioned about the signature i do not mind but the way they asked that ticked me off. then t the representative pulled money out of her purse to complete the amount i was getting. Then there is a charge of pulling money from your account  using a check in a different branch. so I was ok with the fee but when I asked for a receipt for the fee they refuse to provide one  and the refusal was from  rep and the branch manager.","1.0","2017-08-20 10:03:27","Negative","en","Topic 1"
"135","ChIJlwAkxoVrpw0Rrv-a5aB_okE","Cery bad servicei don’t recommend this location to any body the women working only speak with me from security phone
She don’t have time to her job","1.0","2023-06-23 13:54:38","Positive","unknown","Topic 3"
